feature_map,ansatz,rep_fm,rep_var,learning_rate,loss_func,accuracy,precision,recall,f1,duration
ZFeatureMap,RealAmplitudes,1,2,0.01,cross_entropy,0.8333333333333334,0.6091070372560615,0.7070707070707071,0.6306990881458967,25.91300129890442
ZFeatureMap,EfficientSU2,1,2,0.001,squared_error,0.8333333333333334,0.6091070372560615,0.7070707070707071,0.6306990881458967,80.23625826835632
ZFeatureMap,RealAmplitudes,1,3,0.001,squared_error,0.8240740740740741,0.6022727272727273,0.702020202020202,0.6216116540660152,42.048423767089844
ZFeatureMap,RealAmplitudes,1,2,0.01,absolute_error,0.8148148148148148,0.5960591133004925,0.696969696969697,0.6129032258064516,26.05823254585266
PauliFeatureMap,EfficientSU2,1,3,0.01,cross_entropy,0.7962962962962963,0.5203619909502263,0.5353535353535354,0.5190283400809717,156.2444360256195
ZFeatureMap,EfficientSU2,1,3,0.01,weightedcross_entropy,0.7870370370370371,0.5970919324577861,0.7323232323232323,0.6078926598263614,141.19176745414734
ZFeatureMap,EfficientSU2,1,2,0.001,cross_entropy,0.7870370370370371,0.5970919324577861,0.7323232323232323,0.6078926598263614,80.95015525817871
ZFeatureMap,RealAmplitudes,1,3,0.001,cross_entropy,0.7870370370370371,0.5803571428571428,0.6818181818181819,0.5886736214605067,42.09116339683533
ZFeatureMap,EfficientSU2,1,3,0.001,absolute_error,0.7870370370370371,0.48777173913043476,0.4797979797979798,0.47979057591623037,140.14187455177307
ZFeatureMap,EfficientSU2,2,2,0.01,squared_error,0.7870370370370371,0.48777173913043476,0.4797979797979798,0.47979057591623037,88.29401540756226
ZFeatureMap,RealAmplitudes,2,3,0.01,absolute_error,0.7777777777777778,0.4854557207498384,0.4747474747474747,0.47530364372469636,47.477492809295654
ZFeatureMap,RealAmplitudes,1,2,0.001,weightedcross_entropy,0.7685185185185185,0.6038461538461538,0.7727272727272727,0.6088657105606258,26.00969910621643
ZFeatureMap,RealAmplitudes,1,2,0.001,cross_entropy,0.7685185185185185,0.5883928571428572,0.7222222222222222,0.5923297599275252,26.054399013519287
ZFeatureMap,RealAmplitudes,1,3,0.001,weightedcross_entropy,0.7685185185185185,0.5717636022514071,0.6717171717171717,0.5737963693764798,42.371002435684204
ZFeatureMap,EfficientSU2,1,2,0.001,weightedcross_entropy,0.7592592592592593,0.5999162128194386,0.7676767676767677,0.6011363636363636,81.19933414459229
ZFeatureMap,RealAmplitudes,1,3,0.001,absolute_error,0.7592592592592593,0.5844609340899171,0.7171717171717171,0.5848610289769367,42.2327446937561
ZFeatureMap,RealAmplitudes,1,3,0.01,squared_error,0.7592592592592593,0.5679012345679012,0.6666666666666667,0.5666666666666667,42.06714391708374
ZFeatureMap,RealAmplitudes,1,2,0.01,weightedcross_entropy,0.75,0.596217105263158,0.7626262626262627,0.593588850174216,26.142845153808594
ZZFeatureMap,EfficientSU2,1,3,0.01,squared_error,0.75,0.5642857142857143,0.6616161616161615,0.5597161407217273,155.8769075870514
ZZFeatureMap,EfficientSU2,2,2,0.01,absolute_error,0.7314814814814815,0.5740131578947368,0.702020202020202,0.5634843205574913,109.9552538394928
PauliFeatureMap,EfficientSU2,2,3,0.01,squared_error,0.7314814814814815,0.5576923076923077,0.6515151515151516,0.5462842242503259,183.0092577934265
PauliFeatureMap,RealAmplitudes,2,2,0.01,weightedcross_entropy,0.7314814814814815,0.5,0.5,0.481371087928465,40.59011888504028
ZFeatureMap,EfficientSU2,2,3,0.01,cross_entropy,0.7314814814814815,0.44886363636363635,0.398989898989899,0.42245989304812837,151.47645330429077
ZFeatureMap,EfficientSU2,1,2,0.001,absolute_error,0.7222222222222222,0.5709090909090909,0.696969696969697,0.5566502463054187,81.00558829307556
PauliFeatureMap,RealAmplitudes,2,3,0.01,absolute_error,0.7222222222222222,0.4978313253012048,0.4949494949494949,0.4764059469941823,60.88072991371155
ZFeatureMap,EfficientSU2,2,3,0.001,absolute_error,0.7222222222222222,0.47468030690537083,0.4444444444444444,0.44972826086956524,152.5612564086914
PauliFeatureMap,EfficientSU2,2,2,0.01,cross_entropy,0.7129629629629629,0.5518092105263157,0.6414141414141414,0.5333797909407665,110.47937154769897
ZFeatureMap,EfficientSU2,2,3,0.01,squared_error,0.7129629629629629,0.4957786116322702,0.4898989898989899,0.47150749802683506,152.15100860595703
PauliFeatureMap,RealAmplitudes,2,2,0.01,squared_error,0.7129629629629629,0.4957786116322702,0.4898989898989899,0.47150749802683506,40.74716305732727
PauliFeatureMap,EfficientSU2,1,3,0.001,weightedcross_entropy,0.7037037037037037,0.5651663405088062,0.6868686868686869,0.5433403805496828,155.38921880722046
ZZFeatureMap,EfficientSU2,1,3,0.01,absolute_error,0.7037037037037037,0.5651663405088062,0.6868686868686869,0.5433403805496828,155.3281593322754
ZZFeatureMap,RealAmplitudes,2,2,0.01,absolute_error,0.7037037037037037,0.49382716049382713,0.48484848484848486,0.4666666666666667,40.715702056884766
ZZFeatureMap,EfficientSU2,2,2,0.01,weightedcross_entropy,0.6944444444444444,0.5465023847376789,0.6313131313131313,0.5209033472240893,109.9604606628418
ZFeatureMap,EfficientSU2,2,3,0.01,weightedcross_entropy,0.6851851851851852,0.6046511627906976,0.8282828282828283,0.5694183864915572,151.98833918571472
ZZFeatureMap,EfficientSU2,2,2,0.01,cross_entropy,0.6851851851851852,0.5599543205177008,0.6767676767676767,0.5304347826086957,110.28739857673645
ZZFeatureMap,EfficientSU2,2,3,0.01,weightedcross_entropy,0.6851851851851852,0.5440313111545988,0.6262626262626263,0.514799154334038,184.38042378425598
PauliFeatureMap,RealAmplitudes,2,3,0.001,weightedcross_entropy,0.6851851851851852,0.5094260578131545,0.5252525252525252,0.4784090909090909,60.678916692733765
ZZFeatureMap,RealAmplitudes,2,3,0.01,absolute_error,0.6851851851851852,0.5094260578131545,0.5252525252525252,0.4784090909090909,60.84253740310669
PauliFeatureMap,RealAmplitudes,2,2,0.01,absolute_error,0.6851851851851852,0.5094260578131545,0.5252525252525252,0.4784090909090909,40.82374715805054
PauliFeatureMap,RealAmplitudes,2,3,0.01,weightedcross_entropy,0.6851851851851852,0.4901789611523352,0.47474747474747475,0.4571259609698403,60.68655610084534
ZZFeatureMap,RealAmplitudes,2,3,0.001,cross_entropy,0.6851851851851852,0.4901789611523352,0.47474747474747475,0.4571259609698403,60.90204858779907
ZZFeatureMap,RealAmplitudes,2,2,0.001,weightedcross_entropy,0.6851851851851852,0.4691358024691358,0.4242424242424242,0.43333333333333335,41.11701011657715
ZFeatureMap,RealAmplitudes,1,3,0.01,weightedcross_entropy,0.6759259259259259,0.5876623376623377,0.7727272727272727,0.5508021390374331,42.56283402442932
PauliFeatureMap,EfficientSU2,1,2,0.01,absolute_error,0.6759259259259259,0.5876623376623377,0.7727272727272727,0.5508021390374331,91.48517155647278
ZZFeatureMap,EfficientSU2,2,3,0.01,squared_error,0.6759259259259259,0.5575187969924812,0.6717171717171717,0.5241092786100969,183.14589524269104
ZZFeatureMap,RealAmplitudes,1,2,0.01,cross_entropy,0.6759259259259259,0.5074013157894737,0.5202020202020202,0.4731707317073171,31.148178577423096
ZZFeatureMap,RealAmplitudes,2,2,0.001,cross_entropy,0.6759259259259259,0.5074013157894737,0.5202020202020202,0.4731707317073171,40.999775886535645
ZZFeatureMap,RealAmplitudes,2,3,0.01,cross_entropy,0.6759259259259259,0.48846153846153845,0.46969696969696967,0.45241199478487615,61.02209424972534
ZZFeatureMap,RealAmplitudes,2,2,0.01,squared_error,0.6759259259259259,0.48846153846153845,0.46969696969696967,0.45241199478487615,40.495381116867065
PauliFeatureMap,RealAmplitudes,2,3,0.001,squared_error,0.6759259259259259,0.48846153846153845,0.46969696969696967,0.45241199478487615,60.96411991119385
ZZFeatureMap,EfficientSU2,2,2,0.001,squared_error,0.6666666666666666,0.5393985534830605,0.6161616161616161,0.5028132992327365,109.71503639221191
PauliFeatureMap,EfficientSU2,2,2,0.01,squared_error,0.6666666666666666,0.5054545454545455,0.5151515151515151,0.46798029556650245,109.76354050636292
ZZFeatureMap,RealAmplitudes,2,2,0.001,absolute_error,0.6666666666666666,0.4868035190615836,0.46464646464646464,0.4477272727272727,40.66481256484985
ZZFeatureMap,RealAmplitudes,2,3,0.01,squared_error,0.6666666666666666,0.4868035190615836,0.46464646464646464,0.4477272727272727,60.77731513977051
ZZFeatureMap,RealAmplitudes,2,3,0.001,squared_error,0.6666666666666666,0.4868035190615836,0.46464646464646464,0.4477272727272727,60.8754723072052
PauliFeatureMap,EfficientSU2,1,3,0.01,absolute_error,0.6574074074074074,0.5372180451127819,0.6111111111111112,0.49691552310210246,155.49435305595398
ZZFeatureMap,EfficientSU2,2,2,0.01,squared_error,0.6574074074074074,0.503577106518283,0.51010101010101,0.46283102567549406,109.6746563911438
PauliFeatureMap,RealAmplitudes,2,2,0.001,squared_error,0.6574074074074074,0.503577106518283,0.51010101010101,0.46283102567549406,40.73488688468933
ZZFeatureMap,RealAmplitudes,2,2,0.01,weightedcross_entropy,0.6574074074074074,0.48519736842105265,0.4595959595959596,0.44306620209059233,40.87894797325134
ZZFeatureMap,RealAmplitudes,2,2,0.01,cross_entropy,0.6574074074074074,0.48519736842105265,0.4595959595959596,0.44306620209059233,40.678662061691284
ZZFeatureMap,EfficientSU2,2,3,0.001,squared_error,0.6574074074074074,0.48519736842105265,0.4595959595959596,0.44306620209059233,182.40030336380005
ZZFeatureMap,EfficientSU2,1,2,0.01,squared_error,0.6481481481481481,0.5957446808510638,0.8080808080808081,0.5419642857142857,90.93220448493958
ZFeatureMap,RealAmplitudes,1,2,0.01,squared_error,0.6481481481481481,0.5809523809523809,0.7575757575757576,0.5308641975308641,25.830748319625854
ZZFeatureMap,EfficientSU2,1,3,0.01,weightedcross_entropy,0.6481481481481481,0.5660107334525939,0.7070707070707071,0.5187617260787992,156.72853660583496
PauliFeatureMap,EfficientSU2,2,2,0.01,weightedcross_entropy,0.6481481481481481,0.5351170568561873,0.6060606060606061,0.4910714285714286,109.57143306732178
PauliFeatureMap,EfficientSU2,1,3,0.001,cross_entropy,0.6481481481481481,0.501761252446184,0.5050505050505051,0.45771670190274844,155.7695083618164
PauliFeatureMap,EfficientSU2,1,2,0.01,squared_error,0.6481481481481481,0.501761252446184,0.5050505050505051,0.45771670190274844,91.13239908218384
PauliFeatureMap,RealAmplitudes,1,3,0.01,absolute_error,0.6481481481481481,0.48363636363636364,0.45454545454545453,0.43842364532019706,49.51940202713013
ZZFeatureMap,EfficientSU2,1,2,0.001,weightedcross_entropy,0.6388888888888888,0.5639204545454546,0.702020202020202,0.5124435698576224,92.15856981277466
ZZFeatureMap,EfficientSU2,1,2,0.001,squared_error,0.6388888888888888,0.5639204545454546,0.702020202020202,0.5124435698576224,90.98071956634521
PauliFeatureMap,EfficientSU2,2,3,0.01,weightedcross_entropy,0.6388888888888888,0.5169172932330828,0.5505050505050505,0.46972176759410805,184.47202920913696
PauliFeatureMap,RealAmplitudes,2,2,0.001,cross_entropy,0.6388888888888888,0.5,0.5,0.4526315789473684,40.574225425720215
ZZFeatureMap,EfficientSU2,1,3,0.01,cross_entropy,0.6388888888888888,0.48211446740858505,0.4494949494949495,0.43379486490119634,156.59469270706177
ZZFeatureMap,RealAmplitudes,2,3,0.001,absolute_error,0.6388888888888888,0.48211446740858505,0.4494949494949495,0.43379486490119634,60.861615896224976
PauliFeatureMap,EfficientSU2,2,3,0.01,absolute_error,0.6388888888888888,0.4629934210526316,0.398989898989899,0.4129616724738676,182.8457190990448
PauliFeatureMap,EfficientSU2,2,3,0.01,cross_entropy,0.6296296296296297,0.4806262230919765,0.4444444444444444,0.4291754756871036,182.69277095794678
PauliFeatureMap,RealAmplitudes,2,2,0.01,cross_entropy,0.6296296296296297,0.4806262230919765,0.4444444444444444,0.4291754756871036,40.578805446624756
PauliFeatureMap,RealAmplitudes,2,3,0.001,cross_entropy,0.6296296296296297,0.4806262230919765,0.4444444444444444,0.4291754756871036,60.93333959579468
PauliFeatureMap,RealAmplitudes,2,2,0.001,absolute_error,0.6296296296296297,0.4806262230919765,0.4444444444444444,0.4291754756871036,40.8473436832428
ZFeatureMap,RealAmplitudes,2,2,0.01,weightedcross_entropy,0.6296296296296297,0.4618181818181818,0.3939393939393939,0.40886699507389157,29.671050786972046
PauliFeatureMap,EfficientSU2,1,2,0.01,weightedcross_entropy,0.6203703703703703,0.59,0.7929292929292929,0.5219691244737126,92.14297199249268
ZFeatureMap,EfficientSU2,1,3,0.001,squared_error,0.6203703703703703,0.59,0.7929292929292929,0.5219691244737126,139.76765131950378
PauliFeatureMap,RealAmplitudes,1,3,0.001,absolute_error,0.6203703703703703,0.5132352941176471,0.5404040404040404,0.4588781620432604,49.711360692977905
ZZFeatureMap,RealAmplitudes,1,2,0.001,weightedcross_entropy,0.6203703703703703,0.4791666666666667,0.4393939393939394,0.4245614035087719,31.457378149032593
PauliFeatureMap,EfficientSU2,2,3,0.001,cross_entropy,0.6203703703703703,0.4791666666666667,0.4393939393939394,0.4245614035087719,182.44468569755554
