feature_map,ansatz,rep_fm,rep_var,learning_rate,loss_func,accuracy,precision,recall,f1,duration
PauliFeatureMap,EfficientSU2,1,3,0.0001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,170.8516025543213
ZFeatureMap,EfficientSU2,2,2,0.0001,weightedcross_entropy,0.9074074074074074,0.7297996121525534,0.898989898989899,0.7813765182186234,116.85245633125305
ZFeatureMap,EfficientSU2,1,2,0.0001,weightedcross_entropy,0.8981481481481481,0.7078804347826086,0.8434343434343434,0.7512041884816754,98.62715482711792
PauliFeatureMap,EfficientSU2,1,2,0.0001,squared_error,0.8981481481481481,0.5865384615384616,0.5404040404040404,0.5498294808639637,137.3551070690155
ZFeatureMap,EfficientSU2,2,3,0.0001,weightedcross_entropy,0.8888888888888888,0.7049083382613838,0.8888888888888888,0.7537993920972644,169.204185962677
ZFeatureMap,RealAmplitudes,2,3,0.0001,weightedcross_entropy,0.8888888888888888,0.7049083382613838,0.8888888888888888,0.7537993920972644,57.73975348472595
PauliFeatureMap,RealAmplitudes,1,2,0.0001,squared_error,0.8888888888888888,0.6948933419521655,0.8383838383838385,0.7376518218623482,49.78308415412903
PauliFeatureMap,EfficientSU2,1,2,0.0001,cross_entropy,0.8888888888888888,0.671255060728745,0.7373737373737375,0.6963448922211809,129.13783621788025
ZZFeatureMap,RealAmplitudes,1,3,0.0001,cross_entropy,0.8888888888888888,0.5611650485436893,0.5353535353535354,0.5417256011315417,69.31321835517883
PauliFeatureMap,RealAmplitudes,1,3,0.0001,cross_entropy,0.8888888888888888,0.5611650485436893,0.5353535353535354,0.5417256011315417,54.89912176132202
ZZFeatureMap,EfficientSU2,1,2,0.0001,absolute_error,0.8888888888888888,0.5611650485436893,0.5353535353535354,0.5417256011315417,128.81892800331116
PauliFeatureMap,RealAmplitudes,1,3,0.0001,absolute_error,0.8888888888888888,0.5611650485436893,0.5353535353535354,0.5417256011315417,60.227935552597046
PauliFeatureMap,RealAmplitudes,1,3,0.0001,squared_error,0.8888888888888888,0.5611650485436893,0.5353535353535354,0.5417256011315417,54.70715403556824
ZFeatureMap,EfficientSU2,1,3,0.0001,weightedcross_entropy,0.8796296296296297,0.6943181818181818,0.8838383838383839,0.7411027106767472,168.46450328826904
ZFeatureMap,RealAmplitudes,1,3,0.0001,weightedcross_entropy,0.8703703703703703,0.6847290640394088,0.8787878787878788,0.7290322580645161,59.98590874671936
ZZFeatureMap,EfficientSU2,2,3,0.0001,squared_error,0.8611111111111112,0.6636363636363636,0.8232323232323233,0.7012723584731698,256.9214835166931
ZFeatureMap,RealAmplitudes,2,2,0.0001,weightedcross_entropy,0.8518518518518519,0.6680306905370844,0.8686868686868687,0.7065217391304348,35.87056803703308
PauliFeatureMap,RealAmplitudes,1,2,0.0001,cross_entropy,0.8518518518518519,0.6064516129032258,0.6666666666666666,0.625,46.71383285522461
PauliFeatureMap,EfficientSU2,2,3,0.0001,squared_error,0.8518518518518519,0.6064516129032258,0.6666666666666666,0.625,219.94918370246887
PauliFeatureMap,RealAmplitudes,2,3,0.0001,squared_error,0.8518518518518519,0.6064516129032258,0.6666666666666666,0.625,67.13961458206177
ZZFeatureMap,EfficientSU2,1,3,0.0001,weightedcross_entropy,0.8425925925925926,0.6730769230769231,0.9141414141414141,0.7101815311760062,189.00253200531006
PauliFeatureMap,EfficientSU2,1,3,0.0001,weightedcross_entropy,0.8425925925925926,0.6607142857142857,0.8636363636363635,0.6959761549925485,186.5000376701355
PauliFeatureMap,RealAmplitudes,2,3,0.0001,cross_entropy,0.8425925925925926,0.5978260869565217,0.6616161616161615,0.6154973821989529,73.25177693367004
ZZFeatureMap,EfficientSU2,2,3,0.0001,weightedcross_entropy,0.8333333333333334,0.6666666666666666,0.9090909090909092,0.7,203.73361229896545
PauliFeatureMap,EfficientSU2,1,2,0.0001,weightedcross_entropy,0.8333333333333334,0.6539759036144578,0.8585858585858586,0.6858435681965094,110.96693754196167
ZZFeatureMap,EfficientSU2,2,3,0.0001,cross_entropy,0.8333333333333334,0.625615763546798,0.7575757575757576,0.6516129032258065,218.86164593696594
ZZFeatureMap,RealAmplitudes,2,3,0.0001,squared_error,0.8333333333333334,0.590174531351002,0.6565656565656566,0.6064777327935222,73.66412591934204
ZZFeatureMap,EfficientSU2,1,2,0.0001,squared_error,0.8240740740740741,0.5611413043478262,0.601010101010101,0.5702617801047121,110.13621544837952
ZZFeatureMap,EfficientSU2,2,2,0.0001,cross_entropy,0.8148148148148148,0.5771732702542873,0.6464646464646464,0.5896656534954408,131.8712031841278
ZZFeatureMap,RealAmplitudes,2,3,0.0001,absolute_error,0.8148148148148148,0.5552682611506141,0.5959595959595959,0.562753036437247,67.17823195457458
PauliFeatureMap,RealAmplitudes,2,3,0.0001,absolute_error,0.8148148148148148,0.5552682611506141,0.5959595959595959,0.562753036437247,73.30022048950195
ZFeatureMap,RealAmplitudes,1,2,0.0001,weightedcross_entropy,0.8055555555555556,0.6366071428571429,0.8434343434343434,0.6575569983391212,54.7254958152771
PauliFeatureMap,RealAmplitudes,1,2,0.0001,weightedcross_entropy,0.8055555555555556,0.6366071428571429,0.8434343434343434,0.6575569983391212,49.749675989151
PauliFeatureMap,EfficientSU2,2,2,0.0001,absolute_error,0.8055555555555556,0.6071428571428572,0.7424242424242424,0.624441132637854,144.28813099861145
PauliFeatureMap,RealAmplitudes,1,2,0.0001,absolute_error,0.8055555555555556,0.6071428571428572,0.7424242424242424,0.624441132637854,43.37635564804077
ZZFeatureMap,RealAmplitudes,2,3,0.0001,cross_entropy,0.8055555555555556,0.5715909090909091,0.6414141414141414,0.5817813018624378,85.40441918373108
ZZFeatureMap,RealAmplitudes,1,3,0.0001,absolute_error,0.8055555555555556,0.453125,0.4393939393939394,0.4461538461538462,69.57487440109253
ZZFeatureMap,RealAmplitudes,1,2,0.0001,weightedcross_entropy,0.7962962962962963,0.6451612903225806,0.8888888888888888,0.6625,46.92257523536682
ZZFeatureMap,EfficientSU2,2,3,0.0001,absolute_error,0.7962962962962963,0.5665024630541872,0.6363636363636364,0.5741935483870968,202.16383576393127
ZZFeatureMap,RealAmplitudes,1,2,0.0001,cross_entropy,0.7870370370370371,0.5618393234672304,0.6313131313131313,0.566870095902354,93.17089891433716
ZZFeatureMap,RealAmplitudes,1,2,0.0001,squared_error,0.7870370370370371,0.5618393234672304,0.6313131313131313,0.566870095902354,46.47687387466431
PauliFeatureMap,EfficientSU2,2,3,0.0001,absolute_error,0.7777777777777778,0.5759036144578313,0.6767676767676768,0.5811247575953459,219.71949124336243
ZZFeatureMap,RealAmplitudes,1,2,0.0001,absolute_error,0.7685185185185185,0.5717636022514071,0.6717171717171717,0.5737963693764798,46.40756034851074
PauliFeatureMap,EfficientSU2,2,2,0.0001,cross_entropy,0.7685185185185185,0.5535714285714286,0.6212121212121212,0.5529061102831594,121.86277747154236
ZZFeatureMap,EfficientSU2,2,2,0.0001,absolute_error,0.7685185185185185,0.5535714285714286,0.6212121212121212,0.5529061102831594,143.73277521133423
ZZFeatureMap,RealAmplitudes,1,3,0.0001,weightedcross_entropy,0.7592592592592593,0.6285714285714286,0.8686868686868687,0.6289640591966174,80.10207152366638
PauliFeatureMap,RealAmplitudes,1,3,0.0001,weightedcross_entropy,0.7592592592592593,0.6285714285714286,0.8686868686868687,0.6289640591966174,55.00970005989075
PauliFeatureMap,EfficientSU2,2,3,0.0001,cross_entropy,0.7592592592592593,0.5498795180722892,0.6161616161616161,0.5462184873949579,202.08079600334167
ZZFeatureMap,EfficientSU2,1,2,0.0001,weightedcross_entropy,0.75,0.625,0.8636363636363636,0.6210526315789473,120.12972974777222
ZZFeatureMap,EfficientSU2,2,2,0.0001,squared_error,0.75,0.5464352720450281,0.6111111111111112,0.5397000789265983,120.94661402702332
PauliFeatureMap,EfficientSU2,2,2,0.0001,squared_error,0.75,0.5267857142857143,0.5606060606060606,0.5171385991058122,132.6006886959076
ZZFeatureMap,EfficientSU2,2,2,0.0001,weightedcross_entropy,0.7314814814814815,0.618421052631579,0.8535353535353536,0.6056905451340804,166.61126399040222
PauliFeatureMap,EfficientSU2,2,2,0.0001,weightedcross_entropy,0.7314814814814815,0.618421052631579,0.8535353535353536,0.6056905451340804,121.64598727226257
PauliFeatureMap,EfficientSU2,2,3,0.0001,weightedcross_entropy,0.7314814814814815,0.618421052631579,0.8535353535353536,0.6056905451340804,201.68024468421936
ZZFeatureMap,RealAmplitudes,2,2,0.0001,cross_entropy,0.7314814814814815,0.5211069418386491,0.5505050505050505,0.5056037884767166,44.487967014312744
PauliFeatureMap,RealAmplitudes,2,2,0.0001,cross_entropy,0.7314814814814815,0.5211069418386491,0.5505050505050505,0.5056037884767166,64.39793062210083
ZZFeatureMap,RealAmplitudes,2,2,0.0001,absolute_error,0.7314814814814815,0.5211069418386491,0.5505050505050505,0.5056037884767166,44.78536581993103
PauliFeatureMap,RealAmplitudes,2,2,0.0001,absolute_error,0.7314814814814815,0.5211069418386491,0.5505050505050505,0.5056037884767166,48.44591546058655
ZZFeatureMap,RealAmplitudes,2,2,0.0001,squared_error,0.7314814814814815,0.5211069418386491,0.5505050505050505,0.5056037884767166,40.63325357437134
PauliFeatureMap,RealAmplitudes,2,2,0.0001,squared_error,0.7314814814814815,0.5211069418386491,0.5505050505050505,0.5056037884767166,44.41217613220215
ZZFeatureMap,RealAmplitudes,2,2,0.0001,weightedcross_entropy,0.6481481481481481,0.5957446808510638,0.8080808080808081,0.5419642857142857,73.40316247940063
ZZFeatureMap,RealAmplitudes,2,3,0.0001,weightedcross_entropy,0.5833333333333334,0.5527586206896552,0.6717171717171717,0.47533196588578214,67.54456996917725
PauliFeatureMap,RealAmplitudes,2,3,0.0001,weightedcross_entropy,0.5648148148148148,0.5803571428571429,0.7626262626262627,0.48283239938869077,85.55341839790344
PauliFeatureMap,RealAmplitudes,2,2,0.0001,weightedcross_entropy,0.5462962962962963,0.5618131868131868,0.702020202020202,0.460825267447784,68.82493758201599
