feature_map,ansatz,rep_fm,rep_var,learning_rate,loss_func,accuracy,precision,recall,f1,duration
ZFeatureMap,RealAmplitudes,1,3,0.0001,absolute_error,0.9351851851851852,0.7925,0.7626262626262627,0.776529707360331,8.1496262550354
ZZFeatureMap,RealAmplitudes,1,3,0.0001,squared_error,0.9166666666666666,0.725,0.702020202020202,0.7126810523204257,9.29776906967163
ZZFeatureMap,EfficientSU2,1,2,0.0001,absolute_error,0.9166666666666666,0.7122641509433962,0.5505050505050505,0.5689578713968958,9.771608591079712
ZFeatureMap,EfficientSU2,1,2,0.001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,8.589423656463623
ZFeatureMap,EfficientSU2,1,3,0.001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,9.130921125411987
ZFeatureMap,EfficientSU2,2,2,0.001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,9.322115659713745
ZFeatureMap,EfficientSU2,2,2,0.0001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,9.50267505645752
ZFeatureMap,EfficientSU2,2,3,0.001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,9.964704275131226
ZFeatureMap,EfficientSU2,2,3,0.0001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,9.97548246383667
ZFeatureMap,RealAmplitudes,1,3,0.001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,8.07280158996582
ZFeatureMap,RealAmplitudes,1,3,0.0001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,8.147070169448853
ZFeatureMap,RealAmplitudes,2,2,0.001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,8.645264625549316
PauliFeatureMap,EfficientSU2,1,2,0.001,cross_entropy,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,9.730033159255981
ZFeatureMap,EfficientSU2,1,2,0.0001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,8.449909687042236
ZFeatureMap,EfficientSU2,1,3,0.001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,9.041904926300049
ZFeatureMap,EfficientSU2,1,3,0.0001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,9.055915355682373
ZFeatureMap,EfficientSU2,2,2,0.001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,9.359918117523193
ZFeatureMap,EfficientSU2,2,2,0.0001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,9.420297861099243
ZFeatureMap,EfficientSU2,2,3,0.001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,10.085262298583984
ZFeatureMap,EfficientSU2,2,3,0.0001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,9.916476249694824
ZFeatureMap,RealAmplitudes,1,3,0.001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,8.031165599822998
ZFeatureMap,RealAmplitudes,2,2,0.001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,8.679353475570679
ZFeatureMap,RealAmplitudes,2,2,0.0001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,8.65435791015625
ZFeatureMap,RealAmplitudes,2,3,0.001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,9.066417932510376
ZFeatureMap,RealAmplitudes,2,3,0.0001,absolute_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,8.965539693832397
ZFeatureMap,EfficientSU2,1,2,0.001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,8.474864721298218
ZFeatureMap,EfficientSU2,1,2,0.0001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,8.473607063293457
ZFeatureMap,EfficientSU2,1,3,0.0001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,9.185808658599854
ZFeatureMap,EfficientSU2,2,2,0.001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,9.344846248626709
ZFeatureMap,EfficientSU2,2,2,0.0001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,9.39626169204712
ZFeatureMap,EfficientSU2,2,3,0.001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,10.14306926727295
ZFeatureMap,EfficientSU2,2,3,0.0001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,10.009592056274414
ZFeatureMap,RealAmplitudes,1,2,0.001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,7.799045085906982
ZFeatureMap,RealAmplitudes,1,2,0.0001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,7.851667642593384
ZFeatureMap,RealAmplitudes,1,3,0.001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,8.040319204330444
ZFeatureMap,RealAmplitudes,1,3,0.0001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,8.076447486877441
ZFeatureMap,RealAmplitudes,2,2,0.001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,8.752834558486938
ZFeatureMap,RealAmplitudes,2,2,0.0001,squared_error,0.9166666666666666,0.4583333333333333,0.5,0.4782608695652174,8.65652871131897
